uuid,series,status,created_date
c55591c3-2d89-48ef-a299-50d6cc175f58,[2 8 2 3 2],raw,09/11/2025-21:41:27
697ec83e-3706-481c-a606-b3a534ea5a2f,[6 6 2 3 7],raw,09/11/2025-21:41:27
6d2218be-81b1-4752-9bdb-ca60def9524f,[3 5 3 2 6],raw,09/11/2025-21:41:27
b3881120-d834-4b85-b259-a6029372ce41,[10  3  1  2  3],raw,09/11/2025-21:41:27
0eb0a2ec-af3c-461b-bc18-a1b10e206171,[8 4 3 7 0],raw,09/11/2025-21:41:27
cfef7211-9832-437b-863f-42bb413834ad,[7 7 1 3 6],raw,09/11/2025-21:41:27
d3c431e8-e24c-4eee-a84b-3aa74987d9a5,[1 4 4 8 5],raw,09/11/2025-21:41:27
efd60b58-1005-4555-965c-a2b55c31ab5a,[ 2 10  5  5  7],raw,09/11/2025-21:41:27
0f7c23a7-ce1c-4f31-97bb-969bf5d259f5,[6 5 7 7 0],raw,09/11/2025-21:41:27
ddbe5e86-4c25-4b20-8a49-6cd6ab1c6eca,[4 8 3 5 0],raw,09/11/2025-21:41:27
