uuid,series,status,created_date
423a9bb1-b321-4d5d-a54f-2b9d018b79f1,[ 3  8 10  5  0],raw,09/11/2025-23:03:29
781efb04-6050-4494-aaae-16e4e3c173f5,[10  2  0  1  3],raw,09/11/2025-23:03:29
2ca6ee64-9624-4f8b-b5f6-b454aa74b1f0,[3 5 8 0 8],raw,09/11/2025-23:03:29
ac8d047f-266f-4e4d-bece-2b5994562f23,[ 8  5 10  7  6],raw,09/11/2025-23:03:29
cc0f4b1a-9400-4ac7-9512-3a73bf9a9767,[ 5 10  1  3  5],raw,09/11/2025-23:03:29
f27a03f6-78fa-44cd-a4ef-580b798df6cb,[ 2  8  6 10  1],raw,09/11/2025-23:03:29
23e79af5-2323-4497-acc0-17e1a2e5dc30,[ 8  5  7  5 10],raw,09/11/2025-23:03:29
74b5ef66-7b08-4cd3-8711-9a9db95230de,[5 8 5 8 8],raw,09/11/2025-23:03:29
f2dca90e-4d86-491b-b60c-7f739fe8eac0,[ 5  0 10 10  2],raw,09/11/2025-23:03:29
95b5e095-4913-4992-9d4c-c768dce8a575,[0 1 5 2 1],raw,09/11/2025-23:03:29
