uuid,series,status,created_date
426096b0-aa41-4444-9256-f78ab9bddbc9,[9 5 7 1 9],raw,09/11/2025-23:07:20
75cf86fa-cb81-4c9d-972a-f0fe1f64e86a,[9 4 6 0 9],raw,09/11/2025-23:07:20
9b37059f-caac-4a3b-83d7-c6adcd1284a3,[5 3 6 0 4],raw,09/11/2025-23:07:20
3a969850-de65-4739-bfbd-166eb0cfd6c4,[3 2 7 5 5],raw,09/11/2025-23:07:20
6df9ea40-fba0-462c-873e-75ed8d79ecb5,[6 6 4 2 9],raw,09/11/2025-23:07:20
bdf235b4-2538-4e04-be3c-f494b7f53b68,[2 8 3 3 6],raw,09/11/2025-23:07:20
da4cffdd-eee7-46df-9019-ff3308ccdaba,[ 0  6 10  3  1],raw,09/11/2025-23:07:20
bbdabd80-fc29-4364-93e2-4bd4e6b76ecc,[ 7  8 10  0  5],raw,09/11/2025-23:07:20
f91b1205-c64c-4a9f-b6b7-32eb1890be68,[3 6 2 8 5],raw,09/11/2025-23:07:20
b4c72f77-75a3-4704-baa7-1989b7c2acda,[ 0 10  1  7  3],raw,09/11/2025-23:07:20
