uuid,series,status,created_date
35a9a6d4-238e-4971-94d1-aec2d9e52c74,[ 9 10  6  6  2],raw,09/11/2025-21:35:53
1ec95670-1016-4be8-8bc5-587c14644a7f,[ 7 10  7  4  5],raw,09/11/2025-21:35:53
42a57115-8db4-4dd1-a5ba-92ca8a870c67,[4 7 3 2 8],raw,09/11/2025-21:35:53
66bd8cee-11dd-4f4b-a48f-28939233530f,[ 9  1  1  3 10],raw,09/11/2025-21:35:53
e8a5189e-9061-416b-b483-3ce117c9a8b8,[3 2 1 8 2],raw,09/11/2025-21:35:53
74579f8f-9a90-4a6f-ad48-921936fd7e0b,[0 3 5 3 7],raw,09/11/2025-21:35:53
98871864-8192-459e-8c0f-660650917f25,[7 2 3 7 9],raw,09/11/2025-21:35:53
44cfaab9-2ab5-44c3-9d99-004f19bca27e,[4 4 7 0 6],raw,09/11/2025-21:35:53
349fe977-76d1-418b-a7f7-48c1aecffe20,[8 9 8 5 0],raw,09/11/2025-21:35:53
a51548b8-434e-4f52-a475-fa6a9f5ad4ca,[ 4  9  3 10  1],raw,09/11/2025-21:35:53
