uuid,series,status,created_date
c0c61067-433e-4d2d-852d-dee593e80e60,[6 5 0 4 4],raw,09/11/2025-21:35:48
5a51eeac-d169-439f-acf5-a5e47dd3a003,[8 0 8 9 2],raw,09/11/2025-21:35:48
7bdd79ea-c51d-4d6f-9cd9-de22958922e7,[8 6 1 9 2],raw,09/11/2025-21:35:48
1a35094c-c410-4a81-9dcb-9e3a0e947878,[ 3  7 10  6  5],raw,09/11/2025-21:35:48
d2d4720a-3c37-4207-b25a-cded2af5bbaa,[2 0 7 6 3],raw,09/11/2025-21:35:48
f49eea5f-1ab2-4291-a811-3cffc61c5ba8,[5 3 6 4 1],raw,09/11/2025-21:35:48
863fc8a3-67a8-4daa-92d6-7e906ef165e9,[ 3  2 10  0  4],raw,09/11/2025-21:35:48
19cd6dde-6af5-4734-ba4e-03de5e7f3050,[1 0 5 3 4],raw,09/11/2025-21:35:48
17f2757e-795f-4863-b098-3ed505bb2e14,[8 3 0 5 7],raw,09/11/2025-21:35:48
174b7963-3ddc-437c-9bd6-fd4085afd57d,[8 9 4 5 6],raw,09/11/2025-21:35:48
