uuid,series,status,created_date
d7f25792-c4ea-4aa8-a067-1c926249b684,[ 6  5 10 10  0],raw,09/11/2025-23:03:24
0873b89d-1f6b-4351-a05f-dbf789f3bfb4,[6 8 4 1 9],raw,09/11/2025-23:03:24
828bf8d9-678f-420d-9da9-6437e70496c4,[ 1  5  3  8 10],raw,09/11/2025-23:03:24
7584391d-8331-43ee-8a99-412162704830,[10  4  7  0  9],raw,09/11/2025-23:03:24
f05eaa55-6366-44e3-8e0d-1385de42cd93,[0 5 9 3 6],raw,09/11/2025-23:03:24
06551c30-b59d-4f68-9900-b5180129eca7,[ 4 10  4  5  6],raw,09/11/2025-23:03:24
e93abbfc-fc50-4bdd-b9a8-ae66abbed717,[9 7 8 7 9],raw,09/11/2025-23:03:24
4bf310d1-d639-495e-85c6-1efd69579366,[1 6 2 4 2],raw,09/11/2025-23:03:24
44e975b0-d87f-41e0-8ec9-9c94d4e3d58d,[ 5  9  0 10  8],raw,09/11/2025-23:03:24
ac9a38a8-e26a-4b01-8c87-350331c6877a,[3 9 7 2 9],raw,09/11/2025-23:03:24
