uuid,series,status,created_date
19739a8b-9ea8-47fe-86b0-8aaabedb23bc,[ 7  1  7 10  9],raw,09/11/2025-23:02:47
8c6e3a08-57f3-4b6f-90e5-b67ff0a4d76f,[7 6 7 9 4],raw,09/11/2025-23:02:47
eb8618b0-86ef-4bbb-853b-7df2cbcf5b77,[0 8 9 7 1],raw,09/11/2025-23:02:47
9eeaa3a8-a5b9-4053-b6a0-52c536311faf,[6 2 5 1 2],raw,09/11/2025-23:02:47
332e09a4-ab9f-404a-8163-165911b2d74a,[3 1 9 9 7],raw,09/11/2025-23:02:47
752ec3f5-3056-40a1-9e0d-73dd2ad9c086,[9 2 9 6 2],raw,09/11/2025-23:02:47
56824a35-7554-4c88-bd8e-58ba973a27e8,[ 6  3 10  9  9],raw,09/11/2025-23:02:47
488f276a-d622-4dbd-a4b1-31ca8e60e6c2,[9 5 0 0 3],raw,09/11/2025-23:02:47
7dd0d6ff-b05e-430d-afea-32e84f947a71,[7 3 1 3 7],raw,09/11/2025-23:02:47
ed5d3e57-8811-48e9-92a6-dd54ea6684c3,[ 8  2  2 10  6],raw,09/11/2025-23:02:47
