uuid,series,status,created_date
5df216fb-abaa-465e-b787-fd43a34e2a43,[10  5  6  0  2],raw,09/11/2025-21:40:59
19e9d263-4929-4652-b959-dc4684dcff9b,[8 0 5 7 2],raw,09/11/2025-21:40:59
c9157bbc-47b9-453b-b0d6-cfcecccf954f,[ 1  6  7 10  8],raw,09/11/2025-21:40:59
894956b6-321a-482b-891f-98e959c9c21e,[10  0  8  3  2],raw,09/11/2025-21:40:59
7479990a-16fa-473b-ba5d-2b5f1914a5f2,[6 5 9 9 1],raw,09/11/2025-21:40:59
338459bf-9b6d-4c2a-a5ef-800f5a1ef364,[8 4 2 1 2],raw,09/11/2025-21:40:59
6d81c71d-c967-4712-860f-53a395a9e618,[8 6 8 0 3],raw,09/11/2025-21:40:59
07322fc2-4ae0-41fd-8f83-1c6c379880cc,[10  7  4  5  2],raw,09/11/2025-21:40:59
d76911f6-ce86-4033-8d27-8b63768595e9,[9 7 5 2 5],raw,09/11/2025-21:40:59
25ae7dc5-0818-4a55-ae59-2749e30b1b34,[3 6 1 6 7],raw,09/11/2025-21:40:59
