uuid,series,status,created_date
d60c6d24-75ea-41ff-b390-729f4f3433ff,[1 4 2 0 0],raw,09/11/2025-21:41:02
b79e7866-07fd-4ffb-8c1a-640eedb9b239,[5 7 2 5 8],raw,09/11/2025-21:41:02
429196dd-4cb3-4824-81f1-38cdec4e02e8,[6 4 2 7 5],raw,09/11/2025-21:41:02
b3b051a0-21af-4f39-a05a-932e96e0f8fd,[2 8 1 6 3],raw,09/11/2025-21:41:02
0b65172a-d0a3-4869-ab38-41ab61c74665,[5 7 5 1 8],raw,09/11/2025-21:41:02
8eb4c988-588a-47fb-9c86-abe8b0f3c640,[ 3  5 10  9  8],raw,09/11/2025-21:41:02
9ff4f1d6-e9e7-48bb-b106-1f32e095a656,[1 6 9 7 0],raw,09/11/2025-21:41:02
1016bdbc-c778-43c9-81a1-d244b179eb49,[ 0  0  3 10  4],raw,09/11/2025-21:41:02
7f40432a-7f7f-48ca-b264-16f92fa5aa00,[1 6 2 5 4],raw,09/11/2025-21:41:02
775ff42d-9954-4838-b744-19bfd333e67a,[10  5  7  9  0],raw,09/11/2025-21:41:02
