uuid,series,status,created_date
80580d0e-b66d-49e7-86d7-ec612e619a0d,[4, 4, 5, 5, 10],raw,09/11/2025-23:05:59
fa2534f0-9221-4761-a706-23355f2284eb,[1, 1, 3, 6, 6],raw,09/11/2025-23:05:59
dd3a2ac1-a146-47f2-bcdd-abedc5ed4b03,[6, 7, 9, 9, 10],raw,09/11/2025-23:05:59
9ce86ebe-195f-4da6-8ee9-e0bde972e595,[1, 4, 4, 9, 10],raw,09/11/2025-23:05:59
b32764c8-d9dd-43ef-b60b-4c743d8fa30d,[2, 2, 5, 7, 7],raw,09/11/2025-23:05:59
e430aed9-d253-4288-9a43-07e797b65003,[1, 2, 3, 5, 6],raw,09/11/2025-23:05:59
51db227e-5986-4736-9099-0f6632dacbc0,[3, 4, 5, 10, 10],raw,09/11/2025-23:05:59
10d0fa51-bffd-4f9f-b2e1-7cc96e7a8872,[0, 4, 8, 9, 10],raw,09/11/2025-23:05:59
d16824be-8aff-42e8-9e31-ba42709e41b4,[2, 2, 6, 7, 8],raw,09/11/2025-23:05:59
fbe6f91e-655f-4e9a-938d-33c9015f3270,[1, 2, 4, 6, 6],raw,09/11/2025-23:05:59
